date,title, body, key insights, type, canvas tag, hypotheses feedback
2015-05-05,"In Person Meeting with Peruvian, Ms., Peruvian",-,"- Large corporation with 17 stores worldwide
- Corporate decides the clothing store wide
- Does bidding for jewelry but everything else is in house designers",Customer Interview,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.
2015-05-05,"In Person Meeting with May and March, Ms., May and March",- blah,"- Goes to trade shows to find designs
- has a consultation with designer before buying outfits
- Designers must manage the manufacturing",Customer Interview,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.
2015-05-05,"In Person Meeting with Artifects, Ms., Artifects",- blah,"- Will not buy anything just from looking at a line sheet
- Must look at items in person
- Sometimes uses Nuorder.com or JoorAccessories but only if vendor is on the site (more of a convenience)
- Sticks to established brands that can keep the cost down, new people are expensive",Customer Interview,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.
2015-05-05,"In Person Meeting with Shop 857, Mrs., Shop 857",- Blah,"- Buys at Trade shows in NYC
- Buys based off of price point, what customer wants and the season
- Has used sites like NuOrder.com",Customer Interview,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.
2015-05-05,"In Person Meeting with Underthings, Ms., Underthings",-Blah,"- Buys based off of the color scheme for the store
- Most customers are repeat Lincoln park moms and Depaul students
- Goes to tradeshows twice a year
- sticks with more established brands but there is a mix",Customer Interview,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.
2015-05-04,"In Person Meeting with The Green Goddess Boutique, Ms., The Green Goddess Boutique",- ,"-Owner travels around looking for items for the store
- Owner is very experienced in fashion
- Usually travels to LA, NYC to see designers,
- Finds designers in tradeshows
- Seems to work with more established designers
- Buys designs that fit the customer of her store, fits the customers overall persona",Customer Interview,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.
2015-05-04,Phone Call with Jon Friedman,"Jon confirmed that our pivot idea to move toward creating a system that would allow designers to send their lines to a variety of boutiques, and that would allow boutiques to sort and filter their designer pool, was a good idea. He said we're finally thinking in a problem space and also gave us contact information for his old 473 partner Juan Hernandez, who has a list of boutiques from their work on Walk.by. We're planning to try to reach out to him through Prof. Marasco.","Jon and the Thimble team actually came up with a very similar idea independent of one another. Jon recommended creating a common app system for designers that would allow boutiques to sort their designer ""applicants"" more efficiently, which we thought was a good idea given that only two days earlier we'd talked about creating a system to allow more fluid engagements between boutique owners and designers.",Mentor Engagement,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.; Thimble allows designers to present their collections to buyers; Thimble matches designers and buyers based on collection style and end customer persona
2015-05-04,"In Person Meeting with Rae Lisenby, Ms., Frankies","- A boutique store for 8-13 year old girls- Two shops, Lake View N. Clark Street and Santa Monica","- Buy from NY and LA fashion trade shows
- Primarily look for clothes that fit well with the preteen season
- Mainly brand names and more established designers
- Do not seek out unknown fashion designers 
- Is a risk going with someone relatively unknown
- Use limited Technology like Nuorders.com but didn't say much about it",Customer Interview,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.
2015-05-01,Fashion Afficianados/ Fashion fans/ Fashion Power Users/ Fashion Soothsayers,,,Business Model Hypothesis,Key Partners,
2015-05-01,Thimble matches designers and buyers based on collection style and end customer persona,,,Business Model Hypothesis,Value Propositions,
2015-05-01,"Magazine Publishers(Vogue, W, Elle, Harper's Baazar)",,,Business Model Hypothesis,Customer Segments,
2015-05-01,"Retail Stores(Target, Macy's, Barney's, Berghoff Goodman)",,,Business Model Hypothesis,Customer Segments,
2015-05-01,Thimble allows designers to present their collections to buyers,,,Business Model Hypothesis,Value Propositions,
2015-05-01,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.,,,Business Model Hypothesis,Value Propositions,
2015-04-29,Video Chat with Scott Gerlach,"Had an hour long conversation covering the tradeshow, demoing the new website features and talking about customer acquisition. Scott emailed the following email, which sums up the customer acquisition piece.Hi, Chacko and Salil. It’s great to see a live Thimble site and to hear about your experiences releasing the preview product and presenting it at the NUvention Arts trade show. The weightier topics we moved into later in the call today shouldn’t diminish your feelings of accomplishment. Getting a working product out is a huge achievement.After the call, Amy and I discussed some possible contradictions in tone and approach that we may have projected. Let’s remedy that here: We think you need to pivot. The big-picture question is this one from the “Startup Owners Manual”: “Do the customer discovery findings point to a big enough market that’s hungry for the product?” There are some good questions earlier in that same section (starting on Page 260 or so) that might help you decide:
Have you discovered a real need, and does your proposed solution yield an enthusiastic response? This is the “they take it from your hands and play with it” signal that Amy suggested.
Are you seeing word-of-mouth sharing of your concept among the colleagues, friends and families of the people to whom you’ve disclosed it?
Do representative customers rate the severity of the problem you’re solving a 7, 8 or 9 out of 10?
Are there enough customers to support a business in this area … and how many is enough?SOM recommends an early-stage startup in “network effect” products like Thimble should attract 1500-5000 customers from multiple segments to prove market size and addressability. Remember, Thimble must solve problems for at least two audiences: designers of fashion and consumers of fashion designs. You may be able to scale with relatively few of the former (100-500) and much more of the latter (the reminder).SOM also recommends setting targets for usage to prove out customer quality and engagement. How would you drive weekly (or multiple times weekly) usage of Thimble in the short run?In addition, we have our same concerns about how well Thimble fits into the workflow of designers and stylists, as well as the purchase flow of fashion consumers. Does the product have a natural fit so that it may become assimilated easily by the various user archetypes you envision?When we drop back and think through these kinds of questions, we struggle to answer affirmatively for Thimble. That doesn’t mean it’s the end. It may be that you’re at what SOM calls “the end of beginning,” when you’ve fully vetted a hypothesis and need to take decisive action. If you decide that action should be a pivot, we can help with tactics (even guerrilla tactics) for reviewing what you know about your audience and trying new ideas to find the resonant concept.Finally, we recognize that this not the feedback you envisioned receiving. There may be ways forward through the remainder of the NUvention course that do not require a gut-wrenching, late-game product pivot. For example,  if you focus on calculating audience addressability and business scaling for Thimble, you will gain valuable insights about scoping market opportunities (just one of many learnings), even if you determine that Thimble as currently conceived will not scale acceptably.We would love to help you through this time.",Think hard if the lack of enthusiastic response from customers indicates a problem with product-market fit.,Mentor Engagement,,Advisory Board members
2015-04-29,"In Person Meeting with Shruti Kirti, Designer-in-residence, Chicago Fashion Incubator, ShrutiKirti.com Owner","No one does pieces - everybody does collection of pieces for a season. Fashion designers design their collection for a single persona. Buyers buy a collection or signup fashion designer for personas that they need to sell it to or based on a consumer that shops in their store. Persona is a generalization of consumers. Designers dont want to lose their creativity and freedom, but still has to adjust to the demands of the buyers. End consumers are very interested in seeing behind the scene process eg: jcrew pinterest, social media channels. Buyers are not too interested, as they dont have time or they dictate their needs. We will have to convince the buyers to look at a collection based on what consumers are looking at when they make a purchase. Young independent fashion designers are not technophobe - they understand the value of internet, social media and networking. The biggest gap between fashion designers and buyers/users is getting their attention and staying in touch with the designer. Buyers are lesser and more particular and there are a lot of fashion designers. She doesnt want to work with stylists or independent photographers who wants to feature her because she rarely gets something of value in return. The transaction is free marketing, if any. Photographers are interested in fashion designers, as a fashion photoshoot can be used to build their own portfolio. She thinks providing resources - like manufacturer, textile sources, pattern makers, CAD designers etc is a very big value prop. She said she takes a lot of pictures on the phone and upload to instagram. She is not concerned about having a professional photo, especially in the design stages, but once she has a full ine, she wants it to be professionally taken. The lifecycle of a collection is as follows - 6-9 months of designing &nbsp;the collection and then 2-3 months for finding the buyer.&nbsp;",,Customer Interview,,Fashion Buyers - Stores, Boutiques, Other
2015-04-23,Video Chat with Amy Rosenthal,"
Have a good logging system with tagging to collect useful feedback from visitors at the tradeshow.Get Sarah's physical portfolio book to be displayed during the tradeshow and see how users interact with it and also to give a context of what we are trying to doMake sure we understand the venue, how the tables are setup, what layout is planned, equipment available etc.Change the Thank You page to give a more compelling visual cue that we have gotten their feedback and we really care about itPut up Sarah's video on the home page, which can be displayed at the tradeshow easilyAbout the home page, give some context about what they are seeing, more cues to draw user in.

Consider icons like stacked docs for pictures to show the pictures have more content and stories once clicked.When hovering over the images, there is no information about the designer. Have some way of showing the designer info at this stage because our platform is centered around itMake sure this website is tablet friendly - not by the tradeshow date, but definitely when showing to real users and trying to convert themRe-organize the story pages - Give more prominence to the image in terms of positioningIs there a way we can share individual images to social media channels from within the stories/chapters? Or should we keep the sharing at a story level . To begin with, Scott thinks we should keep it at the story level and then look at how users are using it and then adapt.Make sure Tumblr is added to the social media integration list, in addition to pinterest, twitter, facebook, instagramHide the top navigation bar when users start scrolling through the storiesCopy Amazon review styling for text where the text fades off after a few lines. Do that after one or two lines in the description sectionAllow users to upload in landscape orientation also. Create an additional template for thatDesigner info should tuck under once users starts scrolling through the chaptersAdd invite feature to the platform so that users can invite othersUse CMS modules to integrate it in to the website - like drupal and wordpressMake sure users can upload multiple images while uploadingLPC feedback - The ideas seem to be disconnected. Put more details in and see if you can track the user stories all the way to hypothesis.","Launch planning, website design feedback",Mentor Engagement,,Software development with heavy focus on the aesthetics and design.
2015-04-21,Thimble Presentation 04/21/2015,,,Team Presentation,,
2015-04-17,"In Person Meeting with Ria Manyari, Designer - Luxury Leather products, Ria Manyari","Ria has been in the business for a few years and comes from a line of fashion designers. She has an MBA and understands the business of fashion very well, and is trying to expand her business. She has 2 stores carrying her designs and she is looking for more stores. She was really interested in Thimble and said it is exactly what she is looking for and will be a supplemental tool to her website and other social media presence.",Most important thing as a new fashion designers with a line is to get discovered by boutiques.,Customer Interview,Customer Segments,Stylists looking for accessible fashion designers with unique, good quality pieces - Personal Shoppers, Bloggers; Boutiques(stores/entities who have two or three fashion specialty stores - www.thegreengoddessboutique.com, www.frankiesonthepark.com)
2015-04-17,"In Person Meeting with Michael Blossom, Owner/Buyer/Stylist, Florodora","Michael Blossom was one of the panelists for a discussion on buyers in fashion industry at Lake FX Chicago summit. He said aspiring fashion designers are very important to his business,&nbsp;as he is always on the look out for new fashion designers with fresh designs, as that the only way they can differentiate&nbsp;themselves&nbsp;from the retail&nbsp;store like Macy's, Target, Nordstrom. He explained his process on how he selected new designers or lines. His store gets a phone call from a designer, and the person who picks the call asks the designer to send an email with some pictures of his/her collection. They can also send snail mail with photos. Michael goes through all the emails and snail mails they receive and makes a decision whether to ask the designer to send in samples. He said snail mail is still relevant and many people, especially in the fashion industry values that. When I asked him about how he finds designers himselves and reach out to him, he said he looks at competitior websites and keep track on designers who are featured in their stores. If he finds someone promising, he search for there name in google and contact them.","Stylists/Buyers look at other successful Stylists/Buyers/Boutiques for input/info on what is selling and who(designer) needs to be contacted to be featured in the store. Boutique owners are always on the look out for new fashion designers with fresh designs, as that the only way they can differentiate themselves from the retail store like Macy's, Target, Nordstrom.",Customer Interview,Customer Segments,Stylists looking for accessible fashion designers with unique, good quality pieces - Personal Shoppers, Bloggers; Boutiques(stores/entities who have two or three fashion specialty stores - www.thegreengoddessboutique.com, www.frankiesonthepark.com)
2015-04-21,Fashion CAD software companies,,,Business Model Hypothesis,Key Partners,
2015-04-21,"City of Chicago - Chicago Fashion Incubator, Mayor's Fashion Council",,,Business Model Hypothesis,Key Partners,
2015-04-21,"Advertisement revenue from Sourcers, Manufacturers, fashion agencies etc",,,Business Model Hypothesis,Revenue Streams,
2015-04-21,"Selling Data analytics for fashion trend forecasters, retail stores, fashion houses etc",,,Business Model Hypothesis,Revenue Streams,
2015-04-21,Charging publishers/editors for premium content access,,,Business Model Hypothesis,Revenue Streams,
2015-04-21,"Enterprise/Buyer fees for workflow automation(like ERP, CRM hooks), reporting, content creation etc",,,Business Model Hypothesis,Revenue Streams,
2015-04-21,Freemium model - Free for all,,,Business Model Hypothesis,Revenue Streams,
2015-04-21,***** Phase III - Expansion,,,Business Model Hypothesis,Revenue Streams,
2015-04-21,***** Phase II - Monetization,,,Business Model Hypothesis,Revenue Streams,
2015-04-21,***** Phase I - User Acquisition,,,Business Model Hypothesis,Revenue Streams,
2015-04-21,"Rent expenses and other related expenses like furniture, internet, power, misc.",,,Business Model Hypothesis,Cost Structure,
2015-04-21,Salaries for fashion design consultant to review designs on the page and rank/curate them,,,Business Model Hypothesis,Cost Structure,
2015-04-21,"Google Ads, Facebook Ads , Other paid advertisements",,,Business Model Hypothesis,Cost Structure,
2015-04-20,Video Chat with Jon Friedman,"Jon said our business should really be to help designers with the business side of their craft – that it's right in front of our faces, but we are falling into the trap of many first-time startups in that we'd rather build something pretty than something functional. There's some validity in his channel point – that designers already have a lot of channels and we'd just be adding one more they don't know how to use totally effectively. At this point, we agreed it's too late to pivot before next week, so we're pressing on with our idea for the sake of the class, but we may pivot in future weeks.","In short, Jon said our idea is not viable because he doesn't think creating another channel is really solving a problem. He thinks helping designers better use existing channels would be more productive.",Mentor Engagement,Customer Relationships,Discerning fashion consumers looking for independent fashion; Independent fashion designers can tell stories about their creation to create a context and connect to a community; Discerning Fashion consumers want to understand the story behind a fashion item to feel connected to a designer; Stylists looking for accessible fashion designers with unique, good quality pieces - Personal Shoppers, Bloggers
2015-04-21,"In Person Meeting with Jakina Ado, Independent Photographer, Independent (Jakina Ado)","After I gave Jakina the Thimble elevator pitch, she gave me her card and said the idea sounded really interesting, and that we should be in contact going forward once we establish ourselves a bit better in the market.","Jakina said she loves the idea of fashion storytelling, but her real value to us is that she's looking into founding a magazine (she didn't offer many more details than that), but she gave the impression that she'd love to speak to us in the future if we really establish ourselves as a viable product.",Customer Interview,,Fashion Magazines like Vogue, Elle etc
2015-04-17,"In Person Meeting with Masha Titievsky, Fashion Designer, Varyform",We secured Masha as a prospective user for our platform.,"Storytelling matters to Masha, who founded Varyform Design and is vying to join Chicago's Fashion Incubator.",Customer Interview,Value Propositions,Independent fashion designers can tell stories about their creation to create a context and connect to a community
2015-04-15,"Participating in Tradeshows, Industry Events",,,Business Model Hypothesis,Cost Structure,
2015-04-13,"In Person Meeting with Arnab Majumdar, Assistant Professor - Fashion Business, Columbia College Chicago","Arnab asked us to talk to Chicago Fashion Incubator after hearing our initial pitch. It is a fashion incubator by SAIC, City of Chicago and other entities interested in keeping fashion talent in the city. He gave us a contact who is currently in the incubator to schedule a meeting with. He said that stylists are usually working with agencies like v.mora, celestine etc and we should look into these agencies to understand the dynamics. He thinks that sounds more like a fashion ecosystem and he pushed us to think about solving the sourcing and marketing challenges faced by fashion designers. He said Makers Row is a dead website and he rarely get responses from them. He even mentioned that international sourcers should also be featured. He also said it might be a good idea to consider this platform as a virtual tradeshow platform. He talked about MAGIC, which is an annual fashion tradeshow in Vegas, which is usually not very affordable to independent fashion designers and simulating the exposure and accesses in tradeshows might be very useful for these people who usually cant afford to make it. He also touched upon fashion forecasters like WGSN, whom stylists in big companies dependent on for predicting next season's fashion. This is a very expensive service and he said if we can make it affordable it might be an attractive aspect. About disrupting workflows in fashion and using digital media and devices, he said that currently students in Columbia college is not using tablets or any other digital medium to sketch, but he thinks this is a weakness and should be integrated into the program. But he did say that none of the software available is still not of quality to be used. He talked about Optitex, which is a fashion PLM software and he has been working on integrating it to the curricula. About the secrecy question, he said there are a few people who might be sensitive to that, but he he is seeing a trend where people are not too concerned about it, especially with the ubiquitous of mobile phones, tablets and internet access.",Think of this platform as something that replaces tradeshows and builds a fashion ecosystem. Marketing and Sourcing is a big challenge for all in the fashion industry and try to focus on that.,Customer Interview,,Columbia College Chicago; Access to Fashion Designers
2015-04-08,"Phone Call with Sheeba Iype, Owner, Grace Technology Partners, Recruitment Consultancy","
Mostly handles tech recruiting and has never handle any fashion recruiting.Talk to Kathy Thomas, GM Merchandising(contact info given) at Anthropologie for more info on recruiting.Shops highend, in fashion items - Gucci, Chanel etc.Shop at Niemann Marcus and has a personal shopper/stylistRarely shops online as she has a stylist who knows her well and calls her if something goods come in.Totally loves the&nbsp;experience&nbsp;and trusts the stylist,&nbsp;even though&nbsp;she knows they works for commissionShe says that Niemann Marcus stylists are never pushy and they really understands you once they know that you will purchase from themShe also said that if you are a new customer, they will profile you and will show interest only if they think you will buy something. So how you dress and accessorize when you go into the store is very important.Typical customer base of NM is affluent females who are very fashion&nbsp;conscious&nbsp;and like to fly in the social circles. She said she rarely sees people who are younger than 40 in the stores.About the changing shopping habits of the Millenials and the younger generations, she feels that its all steming from a kind of entitlement because of the more well supported childhood and adolescence these generations have. Most dont have to work for college and rarely goes through the financial crunch their older generations had to go through which makes them less worried about money and more focused on quality of life.",Personal Stylists are more of a convenience for those who dont care how much they pay for what they wear.,Customer Interview,Customer Segments,
2015-04-13,"Phone Call with Jon Friedman, Advisor, Apollo Education Group","We talked about the branding and trademark issues we've run into on the business side over the past week, but Jon said not to worry about since we're not a threat to anybody and won't get sued. He said we need to focus on acquiring a customer base, and not be afraid about showing them a not-ideal product on the front end. He said we should make people understand it's an early-stage product, and that because it's so early, their opinions are formative. He also recommended filepicker.io for the devs, who've had issues with image uploading.","John said don't worry about ""champagne problems"" until we've launched a product and have a customer base. Until we've launched, just focus on acquiring customers.",Customer Interview,Key Resources,Social media; Advisory Board members; Access to Fashion Designers
2015-04-07,"Phone Call with Ginger Hartwell, Global Marketing Manager, Proctor and Gamble, Abbott","Ginger worked as the Social Media SME for global beauty and grooming products for P&G. She agreed that beauty/grooming industry is codependent with fashion &nbsp;and there is an interesting opportunity at the intersection of these industries. Bloggers are critical to create virality for products and corporates are always on the lookout for such bloggers and content creators. There are agencies in each of these spaces who knows all the influential bloggers and consult with corporates on using them to advertise their products on a shoestring budget. In the beauty industry, the strategy is to understand the target market, find bloggers who caters to that market and give free samples to these bloggers to review. Checkout tongal.com. Lot of corporates use this website to get marketing ideas by tapping into the &nbsp;authenticity of user generated content which results in virality.&nbsp;",Key factor corporates look from independent bloggers is the target market they are focusing and their following in that market.,Customer Interview,Value Propositions,Discerning Fashion consumers want to understand the story behind a fashion item to feel connected to a designer
2015-04-07,"Fashion Magazines like Vogue, Elle etc",,,Business Model Hypothesis,Key Partners,
2015-04-07,"Fashion Blogs like chicityfashion.com, refinary29 etc",,,Business Model Hypothesis,Key Partners,
2015-04-07,"Attending fashion events(Fashion Shows, Collection Launches, Fashion Networking parties)",,,Business Model Hypothesis,Customer Relationships,
2015-04-07,"Boutiques(stores/entities who have two or three fashion specialty stores - www.thegreengoddessboutique.com, www.frankiesonthepark.com)",,,Business Model Hypothesis,Customer Segments,
2015-04-07,"Stylists looking for accessible fashion designers with unique, good quality pieces - Personal Shoppers, Bloggers",,,Business Model Hypothesis,Customer Segments,
2015-04-07,Lots of Portfolios,,,Business Model Hypothesis,Key Resources,
2015-04-07,Access to Fashion Designers,,,Business Model Hypothesis,Key Resources,
2015-04-07,Industry contacts,,,Business Model Hypothesis,Key Resources,
2015-04-07,Email marketing,,,Business Model Hypothesis,Customer Relationships,
2015-04-07,Kickass dev team,,,Business Model Hypothesis,Key Resources,
2015-04-07,Advisory Board members,,,Business Model Hypothesis,Key Resources,
2015-04-07,Software development with heavy focus on the aesthetics and design.,,,Business Model Hypothesis,Key Activities,
2015-04-07,Onboarding designers on to the platform and ensuring that there is a value prop for them without the other side of the business(buyers) on the platform,,,Business Model Hypothesis,Key Activities,
2015-04-07,"Customer acquisition fees, marketing costs associated with acquiring customers(eg: Professional photo day, Story/Design Workshops, Sponsership for fashion events etc)",,,Business Model Hypothesis,Cost Structure,
2015-04-07,Raise $100K in the first year and $250K in the second to keep the business running,,,Business Model Hypothesis,Key Activities,
2015-04-07,Connections at fashion schools,,,Business Model Hypothesis,Customer Relationships,
